2018-07-10 19:31:48,230-INFO: 
*********************2018-07-10_19-31-48 Mason_bbox2mysql*********************
2018-07-10 19:31:48,230-INFO: read index table from database to get id_project and task bounds
2018-07-10 19:31:48,230-INFO: connet to MySQL...
2018-07-10 19:31:50,863-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,864-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,865-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,866-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,867-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,868-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,869-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,870-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,871-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,873-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,874-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,876-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,877-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,878-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,879-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,880-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,882-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,883-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,884-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,885-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,886-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,886-INFO: mysql insert successed, close db.
2018-07-10 19:31:50,886-INFO: get bboxs list from locussocial:
2018-07-10 19:31:50,886-INFO: requests.....
2018-07-10 19:31:51,286-INFO: requests done, get response....
2018-07-10 19:31:51,290-INFO: There are totally 316 boxs
2018-07-10 19:31:51,290-INFO: save the bboxs info into database:
2018-07-10 19:31:51,290-INFO: connet to MySQL...
2018-07-10 19:31:51,292-INFO: connet to MySQL successed!, beging insert date into mysql table
2018-07-10 19:31:51,343-INFO: The 3 row insert commit,project:189 task:2512
2018-07-10 19:31:51,345-INFO: The 3 row insert commit,project:189 task:2512
2018-07-10 19:31:51,346-INFO: The 3 row insert commit,project:189 task:2512
